date,open,high,low,close,volume,change,change_percent
2025-06-12,38324.9297,38407.5703,38102.0508,38173.0898,104500000,,
2025-06-13,38130.25,38141.5898,37540.1992,37834.25,143500000,,
2025-06-16,38056.8594,38342.5195,38055.5195,38311.3281,104700000,,
2025-06-17,38366.6797,38581.25,38333.3516,38536.7383,103600000,,
2025-06-18,38364.1602,38885.1484,38364.1602,38885.1484,110000000,,
2025-06-19,38858.5195,38870.5508,38488.3398,38488.3398,89300000,,
2025-06-20,38472.25,38646.1602,38362.5391,38403.2305,183900000,,
2025-06-23,38260.6914,38368.2188,38026.3203,38354.0898,95800000,,
2025-06-24,38779.1797,38990.1094,38665.6094,38790.5586,100800000,,
2025-06-25,38904.1797,38944.7695,38711.1094,38942.0703,102900000,,
2025-06-26,39072.1406,39615.5898,39056.1406,39584.5781,123600000,,
2025-06-27,39866.3594,40267.8398,39847.3086,40150.7891,156100000,,
2025-06-30,40550.7891,40852.5391,40322.5391,40487.3906,143900000,,
2025-07-01,40340.6406,40345.8711,39885.3789,39986.3281,124000000,,
2025-07-02,39631.1719,39943.6211,39444.6992,39762.4805,127600000,,
2025-07-03,39796.75,39865.8906,39667.8203,39785.8984,135400000,,
2025-07-04,39994.6406,40012.6602,39693.3984,39810.8789,96600000,,
2025-07-07,39729.5586,39829.3789,39524.25,39587.6797,93400000,,
2025-07-08,39542.0703,39816.2695,39510.4805,39688.8086,136600000,,
2025-07-09,39942.8008,39971.0586,39573.3398,39821.2812,129000000,,
2025-07-10,39795.75,39795.75,39530.9492,39646.3594,129300000,,
2025-07-11,39886.5391,39957.8008,39497.6992,39569.6797,115900000,,
2025-07-14,39416.1016,39608.0195,39288.8984,39459.6211,91500000,,
2025-07-15,39525.8281,39678.0195,39379.3203,39678.0195,98800000,,
2025-07-16,39734.7383,39923.6094,39520.9609,39663.3984,96400000,,
2025-07-17,39492.0195,39910.9609,39370.4297,39901.1914,101500000,,
2025-07-18,40072.3906,40087.5898,39745.4219,39819.1094,92000000,,
2025-07-22,39864.6289,40275.8906,39586.5312,39774.9219,112100000,,
2025-07-23,40189.1797,41342.5898,40087.8594,41171.3203,221100000,,
2025-07-24,41657.9805,42065.8281,41554.1797,41826.3398,149400000,,
2025-07-25,41760.5781,41773.6992,41389.7891,41456.2305,117500000,,
2025-07-28,41515.9102,41534.2109,40997.8711,40998.2695,106500000,,
2025-07-29,40767.7695,40792.8516,40563.5312,40674.5508,101000000,,
2025-07-30,40744.5312,40744.5312,40556.6094,40654.6992,123700000,,
2025-07-31,40693.0,41151.25,40639.3203,41069.8203,134800000,,
2025-08-01,41029.8398,41064.7305,40588.1719,40799.6016,148400000,,
2025-08-04,40118.8086,40332.25,39850.5195,40290.6992,130800000,,
2025-08-05,40521.0,40649.3789,40421.8789,40549.5391,145300000,,
2025-08-06,40430.4609,40850.8906,40423.1289,40794.8594,145500000,,
2025-08-07,40668.1914,41164.1094,40668.1914,41059.1484,154000000,,
