Date,close
1996-01-31,20812.740234375
1996-02-29,20125.369140625
1996-03-31,21406.849609375
1996-04-30,22041.30078125
1996-05-31,21956.189453125
1996-06-30,22530.75
1996-07-31,20692.830078125
1996-08-31,20166.900390625
1996-09-30,21556.400390625
1996-10-31,20466.859375
1996-11-30,21020.359375
1996-12-31,19361.349609375
1997-01-31,18330.009765625
1997-02-28,18557.0
1997-03-31,18003.400390625
1997-04-30,19151.119140625
1997-05-31,20068.810546875
1997-06-30,20604.9609375
1997-07-31,20331.4296875
1997-08-31,18229.419921875
1997-09-30,17887.7109375
1997-10-31,16458.939453125
1997-11-30,16636.259765625
1997-12-31,15258.740234375
1998-01-31,16628.470703125
1998-02-28,16831.669921875
1998-03-31,16527.169921875
1998-04-30,15641.259765625
1998-05-31,15670.7802734375
1998-06-30,15830.26953125
1998-07-31,16378.9697265625
1998-08-31,14107.8896484375
1998-09-30,13406.3896484375
1998-10-31,13564.509765625
1998-11-30,14883.7001953125
1998-12-31,13842.169921875
1999-01-31,14499.25
1999-02-28,14367.5400390625
1999-03-31,15836.58984375
1999-04-30,16701.529296875
1999-05-31,16111.650390625
1999-06-30,17529.740234375
1999-07-31,17861.859375
1999-08-31,17436.560546875
1999-09-30,17605.4609375
1999-10-31,17942.080078125
1999-11-30,18558.23046875
1999-12-31,18934.33984375
2000-01-31,19539.69921875
2000-02-29,19959.51953125
2000-03-31,20337.3203125
2000-04-30,17973.69921875
2000-05-31,16332.4501953125
2000-06-30,17411.05078125
2000-07-31,15727.490234375
2000-08-31,16861.259765625
2000-09-30,15747.259765625
2000-10-31,14539.599609375
2000-11-30,14648.509765625
2000-12-31,13785.6904296875
2001-01-31,13843.5498046875
2001-02-28,12883.5400390625
2001-03-31,12999.7001953125
2001-04-30,13934.3203125
2001-05-31,13262.1396484375
2001-06-30,12969.0498046875
2001-07-31,11860.76953125
2001-08-31,10713.509765625
2001-09-30,9774.6796875
2001-10-31,10366.33984375
2001-11-30,10697.4404296875
2001-12-31,10542.6201171875
2002-01-31,9997.7998046875
2002-02-28,10587.830078125
2002-03-31,11024.9404296875
2002-04-30,11492.5400390625
2002-05-31,11763.7001953125
2002-06-30,10621.83984375
2002-07-31,9877.9404296875
2002-08-31,9619.2998046875
2002-09-30,9383.2900390625
2002-10-31,8640.48046875
2002-11-30,9215.5595703125
2002-12-31,8578.9501953125
2003-01-31,8339.9404296875
2003-02-28,8363.0400390625
2003-03-31,7972.7099609375
2003-04-30,7831.419921875
2003-05-31,8424.509765625
2003-06-30,9083.1103515625
2003-07-31,9563.2099609375
2003-08-31,10343.5498046875
2003-09-30,10219.0498046875
2003-10-31,10559.58984375
2003-11-30,10100.5703125
2003-12-31,10676.6396484375
2004-01-31,10783.6103515625
2004-02-29,11041.919921875
2004-03-31,11715.3896484375
2004-04-30,11761.7900390625
2004-05-31,11236.3701171875
2004-06-30,11858.8701171875
2004-07-31,11325.7802734375
2004-08-31,11081.7900390625
2004-09-30,10823.5703125
2004-10-31,10771.419921875
2004-11-30,10899.25
2004-12-31,11488.759765625
2005-01-31,11387.58984375
2005-02-28,11740.599609375
2005-03-31,11668.9501953125
2005-04-30,11008.900390625
2005-05-31,11276.58984375
2005-06-30,11584.009765625
2005-07-31,11899.599609375
2005-08-31,12413.599609375
2005-09-30,13574.2998046875
2005-10-31,13606.5
2005-11-30,14872.150390625
2005-12-31,16111.4296875
2006-01-31,16649.8203125
2006-02-28,16205.4296875
2006-03-31,17059.66015625
2006-04-30,16906.23046875
2006-05-31,15467.330078125
2006-06-30,15505.1796875
2006-07-31,15456.8095703125
2006-08-31,16140.759765625
2006-09-30,16127.580078125
2006-10-31,16399.390625
2006-11-30,16274.330078125
2006-12-31,17225.830078125
2007-01-31,17383.419921875
2007-02-28,17604.119140625
2007-03-31,17287.650390625
2007-04-30,17400.41015625
2007-05-31,17875.75
2007-06-30,18138.359375
2007-07-31,17248.890625
2007-08-31,16569.08984375
2007-09-30,16785.689453125
2007-10-31,16737.630859375
2007-11-30,15680.669921875
2007-12-31,15307.7802734375
2008-01-31,13592.4697265625
2008-02-29,13603.01953125
2008-03-31,12525.5400390625
2008-04-30,13849.990234375
2008-05-31,14338.5400390625
2008-06-30,13481.3798828125
2008-07-31,13376.8095703125
2008-08-31,13072.8701171875
2008-09-30,11259.8603515625
2008-10-31,8576.98046875
2008-11-30,8512.26953125
2008-12-31,8859.5595703125
2009-01-31,7994.0498046875
2009-02-28,7568.419921875
2009-03-31,8109.52978515625
2009-04-30,8828.259765625
2009-05-31,9522.5
2009-06-30,9958.4404296875
2009-07-31,10356.830078125
2009-08-31,10492.5302734375
2009-09-30,10133.23046875
2009-10-31,10034.740234375
2009-11-30,9345.5498046875
2009-12-31,10546.4404296875
2010-01-31,10198.0400390625
2010-02-28,10126.0302734375
2010-03-31,11089.9404296875
2010-04-30,11057.400390625
2010-05-31,9768.7001953125
2010-06-30,9382.6396484375
2010-07-31,9537.2998046875
2010-08-31,8824.0595703125
2010-09-30,9369.349609375
2010-10-31,9202.4501953125
2010-11-30,9937.0400390625
2010-12-31,10228.919921875
2011-01-31,10237.919921875
2011-02-28,10624.08984375
2011-03-31,9755.099609375
2011-04-30,9849.740234375
2011-05-31,9693.73046875
2011-06-30,9816.08984375
2011-07-31,9833.0302734375
2011-08-31,8955.2001953125
2011-09-30,8700.2900390625
2011-10-31,8988.3896484375
2011-11-30,8434.6103515625
2011-12-31,8455.349609375
2012-01-31,8802.509765625
2012-02-29,9723.240234375
2012-03-31,10083.5595703125
2012-04-30,9520.8896484375
2012-05-31,8542.73046875
2012-06-30,9006.7802734375
2012-07-31,8695.0595703125
2012-08-31,8839.91015625
2012-09-30,8870.16015625
2012-10-31,8928.2900390625
2012-11-30,9446.009765625
2012-12-31,10395.1796875
2013-01-31,11138.66015625
2013-02-28,11559.3603515625
2013-03-31,12397.91015625
2013-04-30,13860.8603515625
2013-05-31,13774.5400390625
2013-06-30,13677.3203125
2013-07-31,13668.3203125
2013-08-31,13388.8603515625
2013-09-30,14455.7998046875
2013-10-31,14327.9404296875
2013-11-30,15661.8701171875
2013-12-31,16291.3095703125
2014-01-31,14914.5302734375
2014-02-28,14841.0703125
2014-03-31,14827.830078125
2014-04-30,14304.1103515625
2014-05-31,14632.3798828125
2014-06-30,15162.099609375
2014-07-31,15620.76953125
2014-08-31,15424.58984375
2014-09-30,16173.51953125
2014-10-31,16413.759765625
2014-11-30,17459.849609375
2014-12-31,17450.76953125
2015-01-31,17674.390625
2015-02-28,18797.939453125
2015-03-31,19206.990234375
2015-04-30,19520.009765625
2015-05-31,20563.150390625
2015-06-30,20235.73046875
2015-07-31,20585.240234375
2015-08-31,18890.48046875
2015-09-30,17388.150390625
2015-10-31,19083.099609375
2015-11-30,19747.470703125
2015-12-31,19033.7109375
2016-01-31,17518.30078125
2016-02-29,16026.759765625
2016-03-31,16758.669921875
2016-04-30,16666.05078125
2016-05-31,17234.98046875
2016-06-30,15575.919921875
2016-07-31,16569.26953125
2016-08-31,16887.400390625
2016-09-30,16449.83984375
2016-10-31,17425.01953125
2016-11-30,18308.48046875
2016-12-31,19114.369140625
2017-01-31,19041.33984375
2017-02-28,19118.990234375
2017-03-31,18909.259765625
2017-04-30,19196.740234375
2017-05-31,19650.5703125
2017-06-30,20033.4296875
2017-07-31,19925.1796875
2017-08-31,19646.240234375
2017-09-30,20356.279296875
2017-10-31,22011.609375
2017-11-30,22724.9609375
2017-12-31,22764.939453125
2018-01-31,23098.2890625
2018-02-28,22068.240234375
2018-03-31,21454.30078125
2018-04-30,22467.869140625
2018-05-31,22201.8203125
2018-06-30,22304.509765625
2018-07-31,22553.720703125
2018-08-31,22865.150390625
2018-09-30,24120.0390625
2018-10-31,21920.4609375
2018-11-30,22351.060546875
2018-12-31,20014.76953125
2019-01-31,20773.490234375
2019-02-28,21385.16015625
2019-03-31,21205.810546875
2019-04-30,22258.73046875
2019-05-31,20601.189453125
2019-06-30,21275.919921875
2019-07-31,21521.529296875
2019-08-31,20704.369140625
2019-09-30,21755.83984375
2019-10-31,22927.0390625
2019-11-30,23293.91015625
2019-12-31,23656.619140625
2020-01-31,23205.1796875
2020-02-29,21142.9609375
2020-03-31,18917.009765625
2020-04-30,20193.689453125
2020-05-31,21877.890625
2020-06-30,22288.140625
2020-07-31,21710.0
2020-08-31,23139.759765625
2020-09-30,23185.119140625
